,Case_coverage,Control_coverage
M00001,0.933333333333333,0.933333333333333
M00002,1,1
M00003,0.923076923076923,0.923076923076923
M00004,0.909090909090909,0.909090909090909
M00005,1,1
M00006,0.833333333333333,0.833333333333333
M00007,0.833333333333333,0.833333333333333
M00008,1,1
M00009,0.851851851851852,0.851851851851852
M00010,1,1
M00011,0.733333333333333,0.733333333333333
M00012,0.75,0.75
M00013,0.285714285714286,0.285714285714286
M00014,0.6,0.6
M00015,0.75,0.75
M00016,0.923076923076923,0.923076923076923
M00017,0.909090909090909,0.909090909090909
M00018,0.9,0.9
M00019,0.909090909090909,0.909090909090909
M00020,1,1
M00021,0.75,0.75
M00022,0.846153846153846,0.846153846153846
M00023,0.714285714285714,0.714285714285714
M00024,0.833333333333333,0.833333333333333
M00025,0.846153846153846,0.846153846153846
M00026,0.866666666666667,0.866666666666667
M00027,0.666666666666667,0.666666666666667
M00028,0.615384615384615,0.615384615384615
M00029,0.666666666666667,0.666666666666667
M00030,0.5,0.5
M00031,0.5,0.5
M00032,0.529411764705882,0.529411764705882
M00033,0.625,0.625
M00034,0.8125,0.8125
M00035,0.8,0.8
M00036,0.692307692307692,0.692307692307692
M00037,0.25,0.25
M00038,0.125,0.125
M00039,0.4,0.4
M00040,0.666666666666667,0.666666666666667
M00042,0.333333333333333,0.333333333333333
M00044,0.5,0.5
M00045,1,1
M00046,1,1
M00047,0.333333333333333,0.333333333333333
M00048,0.65,0.65
M00049,0.7,0.7
M00050,0.7,0.7
M00051,0.615384615384615,0.615384615384615
M00052,0.5,0.5
M00053,0.666666666666667,0.666666666666667
M00055,0.307692307692308,0.307692307692308
M00056,0.5,0.5
M00057,0,0
M00058,1,1
M00059,0,0
M00060,1,1
M00061,1,1
M00063,1,1
M00064,1,1
M00065,0.5,0.5
M00066,1,1
M00072,0.125,0.125
M00073,0.333333333333333,0.333333333333333
M00074,0.153846153846154,0.153846153846154
M00075,0.333333333333333,0.333333333333333
M00076,0.8,0.8
M00077,1,1
M00078,0.875,0.875
M00079,0.75,0.75
M00080,1,1
M00081,1,1
M00082,0.833333333333333,0.833333333333333
M00083,0.727272727272727,0.727272727272727
M00085,0,0
M00086,0.5,0.5
M00087,0.4375,0.4375
M00088,1,1
M00089,0.25,0.25
M00090,0.25,0.25
M00091,1,1
M00092,0.25,0.25
M00093,1,1
M00094,0.2,0.2
M00095,0.75,0.75
M00096,1,1
M00097,0.142857142857143,0.142857142857143
M00098,0.5,0.5
M00099,0.125,0.125
M00100,0,0
M00101,0.166666666666667,0.166666666666667
M00102,0.2,0.2
M00104,0.333333333333333,0.333333333333333
M00105,0.4,0.4
M00106,1,1
M00107,1,1
M00109,0,0
M00110,1,1
M00112,0.666666666666667,0.666666666666667
M00113,0.333333333333333,0.333333333333333
M00114,0.636363636363636,0.636363636363636
M00115,0.857142857142857,0.857142857142857
M00116,0.818181818181818,0.818181818181818
M00117,1,1
M00118,0.5,0.5
M00119,0.833333333333333,0.833333333333333
M00120,0.8,0.8
M00121,0.80952380952381,0.80952380952381
M00122,0.9,0.9
M00123,1,1
M00124,1,1
M00125,0.727272727272727,0.727272727272727
M00126,0.714285714285714,0.714285714285714
M00127,0.75,0.75
M00128,0.166666666666667,0.166666666666667
M00129,0.8,0.8
M00130,0,0
M00131,0.2,0.2
M00132,0,0
M00133,1,1
M00134,1,1
M00135,0.75,0.75
M00136,1,1
M00137,0,0
M00138,1,1
M00140,1,1
M00141,0.5,0.5
M00142,0,0
M00143,0,0
M00144,1,1
M00145,0.117647058823529,0.117647058823529
M00146,0,0
M00147,0,0
M00148,0,0
M00149,1,1
M00150,1,1
M00151,0.111111111111111,0.111111111111111
M00152,0.0625,0.0625
M00153,1,1
M00154,0.0714285714285714,0.0714285714285714
M00155,0.461538461538462,0.461538461538462
M00156,0.25,0.25
M00157,1,1
M00158,0,0
M00159,1,1
M00160,0,0
M00161,0.173913043478261,0.173913043478261
M00162,0.25,0.25
M00163,0.166666666666667,0.166666666666667
M00164,1,1
M00165,0.8,0.8
M00166,0.75,0.75
M00167,0.818181818181818,0.818181818181818
M00168,0.5,0.5
M00169,1,1
M00170,1,1
M00171,0.636363636363636,0.636363636363636
M00172,1,1
M00173,0.82051282051282,0.82051282051282
M00174,0.588235294117647,0.588235294117647
M00175,0.8,0.8
M00176,0.727272727272727,0.727272727272727
M00177,0.0506329113924051,0.0506329113924051
M00178,1,1
M00179,0.507462686567164,0.507462686567164
M00180,0,0
M00181,0,0
M00182,0,0
M00183,0.833333333333333,0.833333333333333
M00184,0,0
M00185,1,1
M00186,1,1
M00187,0.333333333333333,0.333333333333333
M00188,1,1
M00189,1,1
M00190,1,1
M00191,1,1
M00192,1,1
M00193,1,1
M00194,0.8,0.8
M00197,0.8,0.8
M00198,1,1
M00199,0.75,0.75
M00200,0.4,0.4
M00201,0,0
M00202,1,1
M00203,0,0
M00204,0,0
M00205,1,1
M00206,0.25,0.25
M00207,1,1
M00208,1,1
M00209,1,1
M00210,1,1
M00211,1,1
M00212,1,1
M00213,1,1
M00214,1,1
M00215,1,1
M00216,1,1
M00217,1,1
M00218,0,0
M00219,1,1
M00220,1,1
M00221,1,1
M00222,1,1
M00223,1,1
M00224,1,1
M00225,1,1
M00226,1,1
M00227,1,1
M00228,1,1
M00229,1,1
M00230,1,1
M00231,0,0
M00232,1,1
M00233,1,1
M00234,1,1
M00235,0,0
M00236,1,1
M00237,1,1
M00238,1,1
M00239,1,1
M00240,1,1
M00241,1,1
M00242,1,1
M00243,1,1
M00244,1,1
M00245,1,1
M00246,1,1
M00247,1,1
M00248,1,1
M00249,1,1
M00250,1,1
M00251,1,1
M00252,0,0
M00253,1,1
M00254,1,1
M00255,1,1
M00256,1,1
M00257,0,0
M00258,1,1
M00259,1,1
M00260,0.909090909090909,0.909090909090909
M00261,0,0
M00262,0,0
M00263,0,0
M00264,0,0
M00265,0.666666666666667,0.666666666666667
M00266,1,1
M00267,0.666666666666667,0.666666666666667
M00268,0.666666666666667,0.666666666666667
M00269,0.666666666666667,0.666666666666667
M00270,0.75,0.75
M00271,0.666666666666667,0.666666666666667
M00272,1,1
M00273,1,1
M00274,0.666666666666667,0.666666666666667
M00275,1,1
M00276,1,1
M00277,1,1
M00278,1,1
M00279,1,1
M00280,1,1
M00281,0.666666666666667,0.666666666666667
M00282,1,1
M00283,1,1
M00284,0,0
M00285,0,0
M00286,0,0
M00287,1,1
M00288,0,0
M00289,0,0
M00290,0.4,0.4
M00291,0.5,0.5
M00292,0.333333333333333,0.333333333333333
M00293,0,0
M00294,0,0
M00295,0.25,0.25
M00296,0.166666666666667,0.166666666666667
M00297,0,0
M00298,0,0
M00299,1,1
M00300,1,1
M00301,0,0
M00302,0.5,0.5
M00303,1,1
M00304,0.25,0.25
M00305,1,1
M00306,1,1
M00307,1,1
M00308,1,1
M00309,0.5,0.5
M00310,1,1
M00311,1,1
M00312,0.25,0.25
M00313,0.666666666666667,0.666666666666667
M00314,1,1
M00315,0.5,0.5
M00316,0,0
M00317,1,1
M00318,0,0
M00319,1,1
M00320,1,1
M00321,0,0
M00322,0,0
M00323,0,0
M00324,1,1
M00325,1,1
M00326,0.25,0.25
M00327,0,0
M00328,0.333333333333333,0.333333333333333
M00329,0,0
M00330,0.333333333333333,0.333333333333333
M00331,1,1
M00332,0.933333333333333,0.933333333333333
M00333,0.916666666666667,0.916666666666667
M00334,0.777777777777778,0.777777777777778
M00335,1,1
M00336,1,1
M00337,0,0
M00338,0.666666666666667,0.666666666666667
M00339,0.333333333333333,0.333333333333333
M00340,0,0
M00341,0,0
M00342,0.5,0.5
M00343,0.333333333333333,0.333333333333333
M00344,1,1
M00345,0.833333333333333,0.833333333333333
M00346,0.7,0.7
M00347,0.363636363636364,0.363636363636364
M00348,1,1
M00349,1,1
M00350,0.666666666666667,0.666666666666667
M00351,0,0
M00352,0,0
M00353,0.125,0.125
M00354,0.032258064516129,0.032258064516129
M00355,0.0967741935483871,0.0967741935483871
M00356,0.357142857142857,0.357142857142857
M00357,0.333333333333333,0.333333333333333
M00358,0.4,0.4
M00359,0.954545454545455,0.954545454545455
M00360,0.935483870967742,0.935483870967742
M00361,0.857142857142857,0.857142857142857
M00362,0.75,0.75
M00363,0,0
M00364,1,1
M00365,1,1
M00366,0.666666666666667,0.666666666666667
M00367,0.333333333333333,0.333333333333333
M00368,1,1
M00372,0,0
M00373,0.615384615384615,0.615384615384615
M00374,0.848484848484849,0.848484848484849
M00375,0.575757575757576,0.575757575757576
M00376,0.675,0.675
M00377,0.933333333333333,0.933333333333333
M00378,0.666666666666667,0.666666666666667
