,RSZYD17042756_A,RSZYD17042757_A,RSZYD17042759_A,RSZYD17042760_A,RSZYD17042761_A,RSZYD17042762_A,RSZYD17042763_A,RSZYD17042764_A,RSZYD17042765_A,RSZYD17042766_A,RSZYD17042767_A,RSZYD17042768_A,RSZYD17042769_A,RSZYD17042770_A,RSZYD17042771_A,RSZYD17042773_A,RSZYD17042774_A,RSZYD17042775_A,RSZYD17042776_A,RSZYD17042777_A,RSZYD17042778_A,RSZYD17042779_A,RSZYD17042780_A,RSZYD17042782_A,RSZYD17042783_A,RSZYD17042784_A,RSZYD17042785_A,RSZYD17042786_A,RSZYD17042789_A,RSZYD17042790_A,RSZYD17042792_A,RSZYD17042793_A,RSZYD17042795_A,RSZYD17042796_A,RSZYD17042797_A,RSZYD17042798_A,RSZYD17042799_A,RSZYD17042801_A,RSZYD17042803_A,RSZYD17042805_A,RSZYD17042809_A,RSZYD17042810_A,RSZYD17042811_A,RSZYD17042813_A,RSZYD17042816_A,RSZYD17042817_A,RSZYD17042818_A,RSZYD17042821_A,RSZYD17042822_A,RSZYD17050346_A
K00003,6.06890470189964e-05,8.30386220901843e-05,0.000188019864696135,0.000228901882079717,0.000114034719197563,7.77823561914798e-05,9.28324166974494e-05,9.09861215652995e-05,0.000194557130718054,0.000160281112810908,0.000209772477600699,0.000154444753481403,0.000153300845554796,7.65234932721693e-05,8.60860387440276e-05,4.59162988497423e-05,0.000138664654681835,9.28558099225921e-05,0.000136608042227197,5.52101650947287e-05,9.48394940409963e-05,0.000110474654619599,0.00015891125081677,5.75526321984962e-05,0.0001285458366147,5.4636626195772e-05,3.80237115792549e-05,5.78725211030527e-05,0.000168062879261226,8.57015645511768e-05,0.000110413139382712,8.53642564933514e-05,3.52317357061639e-05,0.000203503563152982,8.56105463362181e-05,9.68318330257697e-05,8.40982656634277e-05,7.82740191949972e-05,6.79315902456108e-05,5.34173158547228e-05,0.000215738890018788,0.000176845750704543,0.00012028003863005,9.97304703879601e-05,6.19272086661404e-05,3.92981720828871e-05,0.000173274740106144,4.89922073985726e-05,0.000120032452423656,2.86028639764641e-05
K00012,0.000235690790477033,0.00032560061326653,0.000388320969896949,0.000273463476998845,0.000270748045215237,0.00044414992394002,0.000421205129732256,0.000354545586219294,0.000277800898192827,0.000327938458016042,0.000225703495059076,0.000241749331381551,0.000316042130722386,0.000324489631604313,0.000440820045082257,0.000466594164369674,0.000290689894124911,0.000373240992287501,0.000412964763551532,0.000318805006263991,0.000352610413584365,0.000255890588497539,0.000348340872011645,0.000436047562683826,0.000271184256855897,0.000416929271224254,0.000391035054104928,0.000503649708822121,0.00034038265754255,0.000340603417040842,0.000358570264219166,0.000303263963975125,0.00038984771369475,0.000452788360835034,0.000313294632089183,0.000306715631453015,0.000582672969262271,0.000410460881706497,0.000320336194255002,0.000398842999159715,0.000343357777389768,0.000368680382152015,0.000409084404544731,0.000307649464215516,0.000500317448137103,0.000482733251342883,0.0003797800377357,0.000424732927173376,0.000395582350334836,0.000450311052708362
K00013,0.000210029450692851,0.000157476520759795,0.00019280098899039,0.000230473665441249,0.000181325694072288,0.000235616357746119,0.000221181726009799,0.000160396519580857,0.000224176327511641,0.000216911957662965,0.000216441366437633,0.000243992492021642,0.000228350761058035,0.000213192053666586,0.000192444174044022,0.00023705441317317,0.000190722390095962,0.000235206321445978,0.000207932643960447,0.000223685332708457,0.000189251406806445,0.000230236149346929,0.00020081715199816,0.000250848830044908,0.000152370840042614,0.000225750855595298,0.000255653957052785,0.000219353807358021,0.000207501591712757,0.000128941143680778,0.000207515551722697,0.000194427216324031,0.000202874509564004,0.000248719532094111,0.000200689431198346,0.000197628465439125,0.000203740193261731,0.000206157007832984,0.000179247463037914,0.000210644881780995,0.000229492965791165,0.000240738508424604,0.000175213915416763,0.00021634971617655,0.000185069628427247,0.000214570134743603,0.000223919758810297,0.000170941201337882,0.000190317573098002,0.000201577627982152
K00014,0.000274856798410957,0.000296342241127082,0.000294328654086,0.000316513626574986,0.000267641385013555,0.000258026545339519,0.000272317115190991,0.000255224807830901,0.000326824251317558,0.000281609735357702,0.000356459841522643,0.000316844382685954,0.000297175817718944,0.000281390174433426,0.000289703087698381,0.000298942257685574,0.00028356260424364,0.000315391071836451,0.000279238325233158,0.000374983532517264,0.000261649693052854,0.00038706874985616,0.000294781091635748,0.000301261343034904,0.000271865515181875,0.000278044810239273,0.000304160337703182,0.000269892052251533,0.000271301065267666,0.000307137122629403,0.000268750193359004,0.000247696297087633,0.00027253304363532,0.000288263613122802,0.000267337222755125,0.000275238827970772,0.000289308188236631,0.000273007613738629,0.000258039428083527,0.000231986614719,0.00029670208209902,0.000280987634219482,0.000244481397372982,0.000272275665366596,0.000261124484690887,0.000261195252648717,0.000286114005194272,0.000236803158551841,0.000298775325016121,0.000197190039745336
K00018,0.000193114839147285,0.000234404452077494,0.000167580217652616,0.000231819221703878,0.000190401793702674,0.000205150302841543,0.000206686271226326,0.000167227339932053,0.00021987929707201,0.000192138799641663,0.000278818415916044,0.000267648898998448,0.000213036425202932,0.000185978527425123,0.000183182666825996,0.000192612647501066,0.000198418295142439,0.000151173537107186,0.000182949187910555,0.00019121198135983,0.000184695926497319,0.000186797218159064,0.000186893023257096,0.000219596814018564,7.95372403003801e-05,0.000197902167271613,0.000220412908014816,0.000177430627111301,0.000191364072553718,0.000250405549283099,0.000143400455114054,0.000163717070286425,0.000183608803812919,0.000243680187792963,0.000189889727940778,0.00017514686437818,0.000220763018037352,0.00018186171931993,0.00015308809472104,0.000171568581393904,0.00021843410920446,0.000195430955612736,0.000170593727061767,0.000205627625341334,0.000184904430226748,0.000176109706775621,0.000206201382521774,0.000145576911240714,0.000147585622142912,0.000148534949011398
K00019,8.72894454768961e-06,1.50951715883423e-05,1.09591546514433e-06,6.28795372499336e-06,4.01760239950302e-06,1.38735838747327e-06,1.78225393145963e-05,1.83596634094512e-07,1.01170680524189e-05,9.43695795708029e-06,1.65931884014325e-06,1.93627714692354e-06,7.03003997590072e-06,7.94403652558504e-06,1.31833120574476e-05,2.47110441138731e-06,1.26143611390357e-05,4.30874452577018e-06,7.77458559158739e-06,1.82468072853982e-06,1.47815796916213e-06,5.75343737772776e-06,4.65193078065787e-06,1.21307776283069e-06,1.236051495407e-06,5.89185024069132e-07,6.75853505697268e-07,8.86093281912639e-06,9.83552386167195e-06,5.83465514994366e-07,1.47053780691805e-05,1.42596651074877e-07,3.00427771936499e-06,4.43233974121887e-06,4.59532230241993e-06,1.61727424182182e-06,3.39334087759678e-06,1.82327159057722e-06,1.40066379104372e-06,1.43059271506023e-06,5.57018301375962e-06,3.22268163911337e-06,3.77122160324045e-06,3.32580936581978e-06,1.7315644898409e-06,1.76935342755407e-06,3.1733456386145e-06,3.44379759306384e-06,6.67420764168709e-06,7.4145310760485e-05
K00023,0,0,0,0,1.44312530004319e-06,0,2.45737386769363e-06,0,8.68919968640857e-07,2.88251110637228e-07,0,6.63995158624667e-08,0,3.60254805748789e-07,8.16672475134926e-08,8.196948969554e-08,4.43864087421945e-07,0,1.290177753415e-07,1.60627126972972e-07,1.27542267315271e-06,8.25084886081543e-08,1.00350758134756e-06,0,0,5.93158175633431e-07,6.68535611203788e-08,4.42079430465813e-07,3.23276137983869e-07,0,2.41400078942633e-06,0,1.85232460303435e-07,0,0,8.40665791802521e-08,1.16344077148892e-06,6.7022778391038e-07,0,0,8.94790929193205e-07,8.6375676782636e-07,1.92229380192545e-07,2.95561880796956e-07,6.25855235889662e-07,1.05469968280576e-07,7.87456274132273e-08,4.04551519442443e-07,9.15040919360599e-07,0
K00024,0.000278744059681178,0.000334223030124281,0.000233025911040166,0.000166638911160113,0.000188324549727485,0.000336094618751241,0.000348482457368973,0.000353975893748567,0.000192481249093131,0.000207324279832903,0.000182007617900005,0.000207867618734836,0.000192204190875552,0.000209012685248656,0.000287449585448732,0.000295405391881306,0.000238449561469181,0.000208454489609657,0.000268245201916364,0.000262113059394155,0.000300799440148243,0.000265963961503537,0.000229855041741237,0.000238588772334079,0.000172740908813116,0.000284652733334847,0.000318575002002128,0.000368552224186427,0.000180322474475858,0.000324700227648551,0.000319498469530869,0.0003236117344545,0.000250118838587667,0.000206055163159724,0.0002899523653871,0.000330280986669856,0.000259364151742913,0.000294981191238205,0.000350047227235826,0.000356557188415489,0.000175919412862713,0.000179038215810411,0.000283565890941215,0.000343477751212613,0.000335616588892903,0.000418302327784873,0.000187858628586844,0.000354060830212606,0.000181825224481228,0.00035928390521867
K00029,0.000198938320495683,0.000203768719468627,0.000164018908034753,0.00011227241180106,0.000152259492107209,0.000191174503060178,0.000176876831890475,0.000162884058864295,0.000109479945484889,0.000144329035706285,0.000109496216802392,0.000197729313151611,0.000175856984250605,0.000201979295125875,0.000165055248205266,0.000262957477761943,0.000170112875501533,0.000228876022411785,0.000171512355759763,0.000210540076331235,0.000151647235655234,0.000158375157333378,0.000132974413014235,0.000274170961950161,0.000182023841622455,0.000243835868512935,0.000281600451542786,0.000213561292721075,0.000148996666694296,0.000202742006165116,0.000159151328536494,0.000163839771381925,0.000239363664508246,0.000121601801573657,0.000163044033572999,0.00015995111091599,0.00024183272924673,0.000199110912834065,0.000164785021756975,0.00017663290537004,0.000117670362154239,0.000159611662814065,0.000143490860909719,0.000156885409540771,0.000157242891417388,0.000200578967955056,0.000148087854788349,0.000175278720932311,0.000157071820889089,0.000173557626078607
K00030,4.73148381685789e-06,9.54755982993247e-06,3.42188540172197e-05,3.62170030259473e-05,2.83900766212479e-05,7.83709610834349e-06,1.29646180581736e-05,7.45579375904635e-06,2.36434123114541e-05,2.52822026655462e-05,1.13383811141727e-05,3.76396916994721e-05,3.40634370508319e-05,1.07222786924865e-05,2.54334839191907e-05,7.26346720799703e-06,3.77400635197226e-05,1.84860063423387e-05,1.27633998936023e-05,5.39375449244915e-06,2.12242477530955e-05,1.17526053778068e-05,2.6192304090286e-05,7.17390380545938e-06,6.05958617384832e-06,1.35674980463432e-05,9.04926137520366e-06,1.55235361692517e-05,2.72848021716939e-05,1.51526167447007e-05,1.17387468260191e-05,5.53458958721433e-06,7.3861806341868e-06,2.59302750129673e-05,1.5894034457841e-05,7.21349878370159e-06,1.21644403637902e-05,8.83508366864914e-06,3.78377824748614e-06,5.87371156850179e-06,3.5619608687204e-05,1.26830366869888e-05,1.71167818372302e-05,1.40840830941208e-05,6.70224911109624e-06,8.53297263308523e-06,3.17621880941857e-05,5.10847804101485e-06,3.59115721636279e-05,1.13959524182164e-05
