,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K00003,0.0110207695595817,20,30,Control,-2.51,-0.4149,1.7969,-0.390031794345027,0.360029348626179,2.4105,1.212,4.7942,2.4105 (1.212;4.7942),0.241203117614782
K00012,0.301718405696185,28,23,Case,1.04,3.0822,-1.7767,0.174267799395402,-0.160862584057294,0.7041,0.393,1.2613,0.7041 (0.393;1.2613),0.654693992282842
K00013,0.531253922476574,24,27,Control,-0.63,-3.3337,3.753,-0.11345141528025,0.104724383335616,1.2525,0.7079,2.2161,1.2525 (0.7079;2.2161),0.85061169353799
K00014,0.0326250083986423,21,30,Control,-2.13,-0.9482,2.1497,-0.236353053199252,0.218172049107,1.6762,0.8712,3.2251,1.6762 (0.8712;3.2251),0.273660518209507
K00018,0.765455087307519,25,26,Control,-0.3,-2.7307,3.8704,-0.111674208317714,0.103083884600966,1.2501,0.7026,2.2241,1.2501 (0.7026;2.2241),0.962384248471646
K00019,0.0578545795426941,21,29,Control,-1.89,24.6663,-15.1952,0.0127021259548896,-0.011725039342975,0.9754,0.5569,1.7083,0.9754 (0.5569;1.7083),0.32842700710095
K00023,0.420585403027816,24,27,Control,-0.81,-5.2965,6.5966,-0.0633814722526229,0.0585059743870365,1.1345,0.6407,2.0091,1.1345 (0.6407;2.0091),0.762480633876234
K00024,0.123366622011282,29,22,Case,1.54,2.114,-1.505,0.249197483327984,-0.230028446148909,0.6023,0.3332,1.0885,0.6023 (0.3332;1.0885),0.457637238088056
K00029,0.185140312870791,28,23,Case,1.33,2.0494,-0.9809,0.264686816238617,-0.24432629191257,0.5734,0.3076,1.069,0.5734 (0.3076;1.069),0.526829649789289
K00030,0.028020407833775,21,30,Control,-2.18,-0.3704,1.8743,-0.393553559158406,0.363280208453914,2.4292,1.2201,4.8368,2.4292 (1.2201;4.8368),0.256056409798074
K00031,0.458065825779274,27,24,Case,0.75,3.4637,-2.2392,0.148473395740394,-0.137052365298825,0.7441,0.4194,1.3204,0.7441 (0.4194;1.3204),0.790884774463754
K00033,0.707384603182297,25,26,Control,-0.38,-9.4981,9.0654,-0.047858625047368,0.0441771923514168,1.0986,0.6265,1.9264,1.0986 (0.6265;1.9264),0.942229451210324
K00036,0.946305810934461,25,26,Control,-0.07,91.5596,-78.6558,0.00523805987571676,-0.0048351321929694,0.9898,0.5651,1.7335,0.9898 (0.5651;1.7335),0.992208704748446
K00037,0.172498193748909,23,28,Control,-1.37,-2.8252,3.4626,-0.128624486093914,0.118730294855921,1.2958,0.7247,2.3168,1.2958 (0.7247;2.3168),0.515659494079185
K00040,0.765455087307519,26,25,Case,0.3,6.3735,-4.9969,0.07657658710235,-0.0706860804021691,0.8601,0.4896,1.5111,0.8601 (0.4896;1.5111),0.962384248471646
K00041,0.178737668236209,28,23,Case,1.35,2.1362,-0.9115,0.254156794815551,-0.234606272137432,0.5844,0.3112,1.0975,0.5844 (0.3112;1.0975),0.516455370430589
K00051,0.0380471378059689,21,29,Control,-2.07,-0.9885,2.373,-0.211558564022637,0.195284828328588,1.6402,0.8015,3.3565,1.6402 (0.8015;3.3565),0.282694933822692
K00052,0.0503995102205857,21,29,Control,-1.95,-0.8845,1.8323,-0.284491974165983,0.262607976153216,1.8551,0.9672,3.5583,1.8551 (0.9672;3.5583),0.309557647475073
K00053,0.401585867762527,24,27,Control,-0.84,-2.9313,4.7504,-0.105870842155647,0.0977269312205983,1.234,0.6976,2.1829,1.234 (0.6976;2.1829),0.744855635915974
K00058,0.00205411469708869,19,32,Control,-3.02,-0.2541,1.5688,-0.441956421160799,0.407959773379199,3.244,1.4131,7.4469,3.244 (1.4131;7.4469),0.14430155747048
K00059,0.0552756379895714,21,29,Control,-1.91,-1.3854,2.4268,-0.212092567961466,0.195777755041354,1.5476,0.8481,2.8241,1.5476 (0.8481;2.8241),0.321300219230542
K00064,0.664882949086388,26,25,Case,0.44,3.2378,-1.74,0.128075442917573,-0.118223485770068,0.7709,0.4254,1.3971,0.7709 (0.4254;1.3971),0.929512978573508
K00077,0.292712954819136,23,28,Control,-1.06,-1.486,2.5387,-0.199010152042258,0.183701678808238,1.5047,0.8273,2.7368,1.5047 (0.8273;2.7368),0.650216128886776
K00082,0.0342945685528998,21,30,Control,-2.11,-3.3291,3.4515,-0.0866056690520451,0.0799436945095802,1.1987,0.6494,2.2126,1.1987 (0.6494;2.2126),0.275336393238996
K00088,0.458065825779274,24,27,Control,-0.75,-3.9156,5.5574,-0.0858826000759739,0.0792762462239756,1.1849,0.6727,2.087,1.1849 (0.6727;2.087),0.790884774463754
K00091,0.0103916236967218,20,31,Control,-2.53,-0.4519,1.8514,-0.349964272132792,0.323043943507193,2.4523,1.0968,5.4829,2.4523 (1.0968;5.4829),0.241203117614782
K00097,0.128226419443286,29,22,Case,1.52,2.9156,-2.5227,0.133579214574991,-0.123303890376915,0.7631,0.4237,1.3744,0.7631 (0.4237;1.3744),0.460468036595059
K00099,0.623413544612998,24,26,Control,-0.5,-10.3719,11.6931,-0.0360416547580672,0.0332692197766764,1.0734,0.6121,1.8824,1.0734 (0.6121;1.8824),0.897204640390537
K00122,0.105327374677274,22,29,Control,-1.62,-1.259,2.576,-0.212684082666909,0.196323768615609,1.5602,0.8454,2.8795,1.5602 (0.8454;2.8795),0.432072880062978
K00123,0.039738255822051,21,30,Control,-2.05,-1.2485,2.2597,-0.220196499000007,0.203258306769238,1.6207,0.8446,3.1099,1.6207 (0.8446;3.1099),0.282694933822692
