ID,KO_sum,Case_KO_Num,Control_KO_Num,NS;Case;Control,zscore_two,zscore_less,zscore_greater,zscore_adj_two,zscore_adj_less,zscore_adj_greater
M00001,14,14,14,14; 0; 0,1.01580122648403,3.496864016706,-3.56970782216126,-0.0185632695250071,1.11766622534028,-1.14501159856816
M00002,7,7,7,7; 0; 0,1.07907744321827,2.62060903308124,-2.67227049951667,0.271949999394194,0.933329546214061,-0.975682783482774
M00003,12,12,12,12; 0; 0,0.370835870799622,1.88555407063825,-1.95290648552425,-0.427500839780336,-0.0483667238321398,0.0368329179903332
M00004,10,10,10,9; 1; 0,0.431256747630861,2.58427790806574,-2.64614371186748,-0.329680505860961,0.710297867421779,-0.686699489305742
M00005,1,1,1,1; 0; 0,1.6409922669565,1.95655754825883,-1.97650710034139,0.910618040144035,1.1642347497974,-1.22629081356947
M00006,5,5,5,5; 0; 0,-1.36849141567459,0.504572613732179,-0.547708116791098,-1.5289915831961,-0.553238357532981,0.552993806928288
M00007,5,5,5,4; 1; 0,1.97838055703907,3.15014825279556,-3.19450420852017,0.943233260694173,1.60809275655227,-1.65117462783515
M00008,6,6,6,6; 0; 0,-0.922704288682255,0.947066738426129,-0.994450210614464,-1.12121478476699,-0.33730715740691,0.328924082623886
M00009,23,23,23,20; 2; 1,1.37402265089094,0.869460834058502,-0.963315167694305,-0.00477829556253938,-1.49979331499691,1.52738849750455
M00010,5,5,5,4; 1; 0,-0.423934225309848,0.630552813852617,-0.674113152120925,-0.831278084880964,-0.450317495147286,0.44772767413483
M00011,22,22,22,20; 1; 1,1.33192618253142,0.120105648498123,-0.211763592923583,0.0133638401142082,-1.99115460978711,2.1160078448576
M00012,6,6,6,6; 0; 0,-1.91872171296985,-0.631824162422212,0.584435365681915,-1.80629136862738,-1.65605738316035,1.68232766827626
M00013,2,2,2,2; 0; 0,-0.410245109040261,0.51886138325472,-0.546194588371896,-0.510543555260825,-0.249381140201323,0.212319981331552
M00014,3,3,3,2; 1; 0,1.73051163261562,1.30845511980985,-1.34263488939923,0.862601983783597,0.277569191021535,-0.325185613051924
M00015,3,3,3,3; 0; 0,-0.0344901390503889,1.2531672293979,-1.28670013847488,-0.444435671743228,0.232411565287424,-0.277811486792248
M00016,12,12,12,9; 2; 1,2.10426701839992,1.48954983436026,-1.55773032772221,0.776225512453801,-0.376732383080488,0.355342944236726
M00017,10,10,10,7; 2; 1,0.369146712327822,0.825928985019747,-0.888012811655259,-0.371479834025843,-0.734666847218032,0.748186051981343
