ID	level1	level2	Description_map	Description_module	Case_coverage	Control_coverage	Reportscore	State
M00001	Metabolism	Carbohydrate_Metabolism	Glycolysis_/_Gluconeogenesis	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.933333333333333	0.933333333333333	3.496864016706	Remain
M00002	Metabolism	Carbohydrate_Metabolism	Glycolysis_/_Gluconeogenesis	Glycolysis, core module involving three-carbon compounds	1	1	2.62060903308124	Remain
M00003	Metabolism	Carbohydrate_Metabolism	Glycolysis_/_Gluconeogenesis	Gluconeogenesis, oxaloacetate => fructose-6P	0.923076923076923	0.923076923076923	1.88555407063825	Remain
M00004	Metabolism	Carbohydrate_Metabolism	Pentose_phosphate_pathway	Pentose phosphate pathway (Pentose phosphate cycle)	0.909090909090909	0.909090909090909	2.58427790806574	Remain
M00005	Metabolism	Carbohydrate_Metabolism	Pentose_phosphate_pathway	PRPP biosynthesis, ribose 5P => PRPP	1	1	1.95655754825883	Remain
M00006	Metabolism	Carbohydrate_Metabolism	Pentose_phosphate_pathway	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0.833333333333333	0.833333333333333	0.504572613732179	Remain
M00007	Metabolism	Carbohydrate_Metabolism	Pentose_phosphate_pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	0.833333333333333	0.833333333333333	3.15014825279556	Remain
M00008	Metabolism	Carbohydrate_Metabolism	Pentose_phosphate_pathway	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1	1	0.947066738426129	Remain
M00009	Metabolism	Carbohydrate_Metabolism	Citrate_cycle_(TCA_cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.851851851851852	0.851851851851852	0.869460834058502	Remain
M00010	Metabolism	Carbohydrate_Metabolism	Citrate_cycle_(TCA_cycle)	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	1	1	0.630552813852617	Remain
M00011	Metabolism	Carbohydrate_Metabolism	Citrate_cycle_(TCA_cycle)	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0.733333333333333	0.733333333333333	0.120105648498123	Remain
M00012	Metabolism	Carbohydrate_Metabolism	Glyoxylate_and_dicarboxylate_metabolism	Glyoxylate cycle	0.75	0.75	-0.584435365681915	Remain
M00013	Metabolism	Carbohydrate_Metabolism	Propanoate_metabolism	Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA	0.285714285714286	0.285714285714286	0.51886138325472	Remain
M00014	Metabolism	Carbohydrate_Metabolism	Pentose_and_glucuronate_interconversions	Glucuronate pathway (uronate pathway)	0.6	0.6	1.30845511980985	Remain
