M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002	Glycolysis, core module involving three-carbon compounds
M00003	Gluconeogenesis, oxaloacetate => fructose-6P
M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
M00265	PTS system, glucose-specific II component
M00266	PTS system, maltose and glucose-specific II component
M00268	PTS system, arbutin-like II component
M00272	PTS system, arbutin-, cellobiose-, and salicin-specific II component
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
M00009	Citrate cycle (TCA cycle, Krebs cycle)
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00311	2-oxoglutarate:ferredoxin oxidoreductase
M00004	Pentose phosphate pathway (Pentose phosphate cycle)
M00005	PRPP biosynthesis, ribose 5P => PRPP
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde-3P + pyruvate
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde + pyruvate
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
M00014	Glucuronate pathway (uronate pathway)
M00061	Uronic acid metabolism
M00081	Pectin degradation
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
M00273	PTS system, fructose-specific II component
M00274	PTS system, mannitol-specific II component
M00276	PTS system, mannose-specific II component
M00278	PTS system, sorbose-specific II component
M00280	PTS system, glucitol/sorbitol-specific II component
M00277	PTS system, N-acetylgalactosamine-specific II component
M00279	PTS system, galactitol-specific II component
M00281	PTS system, lactose-specific II component
M00287	PTS system, galactosamine-specific II component
M00283	PTS system, ascorbate-specific II component
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P
M00082	Fatty acid biosynthesis, initiation
M00083	Fatty acid biosynthesis, elongation
M00085	Fatty acid biosynthesis, elongation, mitochondria
M00415	Fatty acid biosynthesis, elongation, endoplasmic reticulum
M00086	beta-Oxidation, acyl-CoA synthesis
M00087	beta-Oxidation
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
M00112	Tocopherol biosynthesis
M00116	Menaquinone biosynthesis, chorismate => menaquinone
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone
M00144	NADH:quinone oxidoreductase, prokaryotes
M00149	Succinate dehydrogenase, prokaryotes
M00150	Fumarate reductase, prokaryotes
M00151	Cytochrome bc1 complex respiratory unit
M00153	Cytochrome d ubiquinol oxidase
M00155	Cytochrome c oxidase, prokaryotes
M00157	F-type ATPase, bacteria
M00159	V-type ATPase, prokaryotes
M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
M00546	Purine degradation, xanthine => urea
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
M00027	GABA (gamma-Aminobutyrate) shunt
M00018	Threonine biosynthesis, aspartate => homoserine => threonine
M00020	Serine biosynthesis, glycerate-3P => serine
M00033	Ectoine biosynthesis, aspartate => ectoine
M00555	Betaine biosynthesis, choline => betaine
