M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010  Glycolysis / Gluconeogenesis
M00002	Glycolysis, core module involving three-carbon compounds	map00010  Glycolysis / Gluconeogenesis
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	map00010  Glycolysis / Gluconeogenesis
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	map00030  Pentose phosphate pathway
M00005	PRPP biosynthesis, ribose 5P => PRPP	map00030  Pentose phosphate pathway
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	map00030  Pentose phosphate pathway
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	map00030  Pentose phosphate pathway
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	map00030  Pentose phosphate pathway
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00020  Citrate cycle (TCA cycle)
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	map00020  Citrate cycle (TCA cycle)
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00020  Citrate cycle (TCA cycle)
M00012	Glyoxylate cycle	map00630  Glyoxylate and dicarboxylate metabolism
M00013	Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA	map00640  Propanoate metabolism
M00014	Glucuronate pathway (uronate pathway)	map00040  Pentose and glucuronate interconversions
M00015	Proline biosynthesis, glutamate => proline	map00330  Arginine and proline metabolism
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	map00300  Lysine biosynthesis
M00017	Methionine biosynthesis, apartate => homoserine => methionine	map00270  Cysteine and methionine metabolism
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	map00260  Glycine, serine and threonine metabolism
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	map00290  Valine, leucine and isoleucine biosynthesis
M00020	Serine biosynthesis, glycerate-3P => serine	map00260  Glycine, serine and threonine metabolism
M00021	Cysteine biosynthesis, serine => cysteine	map00270  Cysteine and methionine metabolism
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400  Phenylalanine, tyrosine and tryptophan biosynthesis
M00023	Tryptophan biosynthesis, chorismate => tryptophan	map00400  Phenylalanine, tyrosine and tryptophan biosynthesis
M00024	Phenylalanine biosynthesis, chorismate => phenylalanine	map00400  Phenylalanine, tyrosine and tryptophan biosynthesis
M00025	Tyrosine biosynthesis, chorismate => tyrosine	map00400  Phenylalanine, tyrosine and tryptophan biosynthesis
M00026	Histidine biosynthesis, PRPP => histidine	map00340  Histidine metabolism
M00027	GABA (gamma-Aminobutyrate) shunt	map00250  Alanine, aspartate and glutamate metabolism
M00028	Ornithine biosynthesis, glutamate => ornithine	map00330  Arginine and proline metabolism
M00029	Urea cycle	map00330  Arginine and proline metabolism
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	map00300  Lysine biosynthesis
M00031	Lysine biosynthesis, 2-aminoadipate => lysine	map00300  Lysine biosynthesis
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	map00310  Lysine degradation
M00033	Ectoine biosynthesis, aspartate => ectoine	map00260  Glycine, serine and threonine metabolism
M00034	Methionine salvage pathway	map00270  Cysteine and methionine metabolism
M00035	Methionine degradation	map00270  Cysteine and methionine metabolism
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00280  Valine, leucine and isoleucine degradation
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	map00380  Tryptophan metabolism
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	map00380  Tryptophan metabolism
M00039	Lignin biosynthesis, cinnamate => lignin	map00940  Phenylpropanoid biosynthesis
M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine	map00400  Phenylalanine, tyrosine and tryptophan biosynthesis
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	map00350  Tyrosine metabolism
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	map00350  Tyrosine metabolism
M00044	Tyrosine degradation, tyrosine => homogentisate	map00350  Tyrosine metabolism
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	map00340  Histidine metabolism
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	map00240  Pyrimidine metabolism
M00047	Creatine pathway	map00330  Arginine and proline metabolism
M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	map00230  Purine metabolism
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	map00230  Purine metabolism
M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	map00230  Purine metabolism
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	map00240  Pyrimidine metabolism
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	map00240  Pyrimidine metabolism
M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	map00240  Pyrimidine metabolism
M00055	N-glycan precursor biosynthesis	map00510  N-Glycan biosynthesis
M00056	O-glycan biosynthesis, mucin type core	map00512  O-Glycan biosynthesis
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	map00532  Glycosaminoglycan biosynthesis - chondroitin sulfate
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	map00532  Glycosaminoglycan biosynthesis - chondroitin sulfate
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	map00534  Glycosaminoglycan biosynthesis - heparan sulfate
M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A	map00540  Lipopolysaccharide biosynthesis
M00061	Uronic acid metabolism	map00040  Pentose and glucuronate interconversions
M00063	CMP-KDO biosynthesis	map00540  Lipopolysaccharide biosynthesis
M00064	ADP-L-glycero-D-manno-heptose biosynthesis	map00540  Lipopolysaccharide biosynthesis
M00065	GPI-anchor biosynthesis, core oligosaccharide	map00563  Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
M00066	Lactosylceramide biosynthesis	map00600  Sphingolipid metabolism
M00067	Cerebroside and sulfatide biosynthesis	map00600  Sphingolipid metabolism
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	map00603  Glycosphingolipid biosynthesis - globo series
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	map00604  Glycosphingolipid biosynthesis - ganglio series
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	map00601  Glycosphingolipid biosynthesis - lacto and neolacto series
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	map00601  Glycosphingolipid biosynthesis - lacto and neolacto series
M00072	Oligosaccharyltransferase	map00510  N-Glycan biosynthesis
M00073	N-glycan precursor trimming	map00510  N-Glycan biosynthesis
M00074	N-glycan biosynthesis, high-mannose type	map00510  N-Glycan biosynthesis
M00075	N-glycan biosynthesis, complex type	map00510  N-Glycan biosynthesis
M00076	Dermatan sulfate degradation	map00531  Glycosaminoglycan degradation
M00077	Chondroitin sulfate degradation	map00531  Glycosaminoglycan degradation
M00078	Heparan sulfate degradation	map00531  Glycosaminoglycan degradation
