"","Phylum","Estimate","Naive.S.E.","Naive.z","Robust.S.E.","Robust.z","p.value","FDR","Phenotype"
"1","Anaerofustis",-0.000643614966542212,0.0071657869435737,-0.0898177648331295,0.000263205827452984,-2.44529147690387,0.0144735117171006,0.0434205351513019,"BMI"
"2","Bifidobacterium",-0.127294513891455,0.072051391245197,-1.76671833383843,0.0388950852811967,-3.27276603126498,0.00106500596270297,0.00426002385081188,"BMI"
"3","Campylobacter",-3.25539145312123e-06,0.000595488111066827,-0.00546676145605852,1.59634645144707e-06,-2.03927628001444,0.0414224616005889,0.0567613102507293,"Histidine"
"4","Capnocytophaga",-0.0354640323712802,0.0484388906311697,-0.732139648723905,0.0139904983150277,-2.53486556180684,0.0112490487862629,0.0337471463587888,"Histidine"
"5","Achromobacter",0.190795769303449,0.0984953564044139,1.93710420743143,0.0569767640571699,3.34865927296268,0.000812035919547448,0.00406017959773724,"Lysine"
"6","Alkaliphilus",-0.0675054420823401,0.0772233726532884,-0.874158169514571,0.0331763037058452,-2.03474873755893,0.0418761614813204,0.0550521306645963,"Lysine"
"7","Brachyspira",-0.229069213480109,0.0985842753410251,-2.3235877394007,0.0544764789499505,-4.20491958906821,2.61174994943498e-05,0.000182822496460449,"Lysine"
"8","Burkholderia",-0.14014606897573,0.0858095876032482,-1.63322156521382,0.0444861268785448,-3.15033199807108,0.00163085021871628,0.00652340087486511,"Lysine"
"9","Campylobacter",0.0602660147601117,0.0724018397204008,0.832382367531615,0.0273442304849996,2.20397552577581,0.0275260653322982,0.0550521306645963,"Lysine"
"10","Brachyspira",-0.0448205043836822,0.0568435059572536,-0.788489443585469,0.0165140426425128,-2.71408433137377,0.00664592455511834,0.0265836982204734,"Threonine"
"11","Capnocytophaga",-0.0817554466766845,0.0688703877563027,-1.18709142405261,0.0244467836319559,-3.34422097841194,0.000825139843610066,0.00412569921805033,"Threonine"
"12","Coprococcus",-0.0443756655477344,0.0571235496927948,-0.776836624936346,0.0164923748457993,-2.69067772001538,0.00713070432939615,0.0265836982204734,"Threonine"
"13","Acidaminococcus",0.128905313537248,0.0789867671531504,1.63198619443823,0.0560663547426301,2.29915631449524,0.0214960646656223,0.0644881939968669,"Tryptophan"
"14","Akkermansia",-0.0762332066604609,0.0700497995443614,-1.08827158901695,0.0247992122380337,-3.07401726832051,0.00211197207497992,0.0147838045248594,"Tryptophan"
"15","Bacillus",-4.35743652509769e-06,0.000766431869421757,-0.00568535403986424,2.11733478434124e-06,-2.05798183514631,0.0395918771433862,0.0791837542867724,"Tryptophan"
"16","Brachyspira",-0.000401194687999349,0.00663046753041795,-0.0605077524561922,0.000198129720757929,-2.02490916791591,0.0428766920422839,0.0791837542867724,"Tryptophan"
"17","Burkholderia",-0.136168686913839,0.0804548152112973,-1.69248647897855,0.0497075618329934,-2.73939581610009,0.00615522196716481,0.030776109835824,"Tryptophan"
"18","Coprococcus",-0.115200532166205,0.0780790457864393,-1.47543468296602,0.0420565764509648,-2.73917997820201,0.00615926456382163,0.030776109835824,"Tryptophan"
"19","Coriobacterium",-8.63721322782886e-06,0.00102792262214518,-0.00840259085825333,2.94562067043792e-06,-2.93222182832686,0.0033654626489797,0.0201927758938782,"Tryptophan"
