OMIM	HGNC Approved Gene Symbol	Cytogenetic location
100050	NA	NA
100070	NA	NA
100100	NA	NA
100200	NA	NA
100300	NA	NA
100500	NA	NA
100600	NA	NA
100640	ALDH1A1	9q21.13
100650	NA	NA
100660	ALDH3A1	17p11.2
100670	ALDH1B1	9p13
100675	NA	NA
100678	ACAT2	6q25.3
100680	NA	NA
100690	CHRNA1	2q31.1
100700	NA	NA
100710	CHRNB1	17p13.1
100720	CHRND	2q37.1
100725	CHRNE	17p13.2
100730	CHRNG	2q37.1
100735	NA	NA
100740	ACHE	7q22
100790	ASCL1	12q23.2
100800	NA	NA
100820	NA	NA
100850	ACO2	22q13.2
100880	ACO1	9p21.1
100900	NA	NA
101000	NA	NA
101120	NA	NA
101200	NA	NA
101400	NA	NA
101600	NA	NA
101800	NA	NA
101805	NA	NA
101840	NA	NA
101850	NA	NA
101900	NA	NA
102000	NA	NA
102100	NA	NA
102150	NA	NA
102200	NA	NA
102300	NA	NA
102350	NA	NA
102370	NA	NA
102400	NA	NA
102480	ACR	22q13.33
102490	NA	NA
102500	NA	NA
102510	NA	NA
102520	NA	NA
102525	ACRV1	11q24.2
102530	NA	NA
102540	ACTC1	15q14
102545	ACTG2	2p13.1
102550	NA	NA
102560	ACTG1	17q25.3
102565	FLNC	7q32-q35
102570	NA	NA
102573	ACTN2	1q42-q43
102574	NA	NA
102575	ACTN1	14q24.1
102576	ACVR1	2q23-q24
102577	RFC4	3q27
102578	PML	15q24.1
102579	RFC1	4p14-p13
102581	ACVR2A	2q22.2-q23.3
102582	STAT3	17q21
102590	NA	NA
102593	AOAH	7p14.2
102595	ACYP2	2p16.2
102600	APRT	16q24
102610	ACTA1	1q42.13
102620	ACTA2	10q23.31
102630	ACTB	7p22
102640	NA	NA
102642	SOAT1	1q25
102645	APEH	3p21
102650	NA	NA
102660	NA	NA
102670	MADCAM1	19p13.3
102680	ADD1	4p16.3
102681	ADD2	2p13.3
102699	NA	NA
102700	NA	NA
102710	NA	NA
102720	DPP4	2q24.2
102730	NA	NA
102750	ADK	10q22.2
102770	AMPD1	1p13
102771	AMPD2	1p13.3
102772	AMPD3	11p15
102775	ADORA1	1q32.1
102776	ADORA2A	22q11.23
102777		NA
102800	NA	NA
102900	NA	NA
102910	ATP5B	12p13.3
102920	NA	NA
102930	NA	NA
102940	NA	NA
102970	NA	NA
102980	ADCYAP1	18p11
102981	ADCYAP1R1	7p14.3
102990	NA	NA
103000	AK1	9q34.1
103020	AK2	1p35.1
103030	AK4	1p31.3
103050	NA	NA
103060	ADSS	1q44
103070	ADCY8	8q24
103071	ADCY2	5p15.3
103072	ADCY1	7p12.3
103100	NA	NA
103180	ARF1	1q42.13
103188	ARF5	7q31.3
103190	ARF3	12q13.12
103195	PLIN2	9p22.1
103200	NA	NA
103220	SLC25A4	4q35
103230	NA	NA
103260	FDX1	11q22.3
103270	FDXR	17q25.1
103275	ADM	11p15.4
103280	H19	11p15.5
103285	NA	NA
103300	NA	NA
103320	AGRN	1p36.33
103321	NA	NA
103390	AHNAK	11q12-q13
103400	NA	NA
103420	NA	NA
103470	NA	NA
103500	NA	NA
103580	NA	NA
103581	NA	NA
103600	ALB	4q13.3
103700	ADH1A	4q23
103710	ADH5	4q23
103720	NA	NA
103730	ADH1C	4q23
103735	ADH6	4q23
103740	ADH4	4q23
103780	NA	NA
103800	NA	NA
103830	AKR1A1	1p33-p32
103850	ALDOA	16p11.2
103870	ALDOC	17q11.2
103880	AKR1B1	7q35
103890		NA
103900	NA	NA
103920	NA	NA
103950	A2M	12p13.31
104000	NA	NA
104100	NA	NA
104110	NA	NA
104130	NA	NA
104145	AFM	4q13.3
104150	AFP	4q13.3
104155	ZFHX3	16q22.3
104160	GANAB	11q12.3
104170	NAGA	22q13.2
104175	GGTA1P	9q33.2
104180	GANC	15q15.2
104200	NA	NA
104210	ADRA2A	10q25.2
104219	ADRA1D	20p13
104220	ADRA1B	5q33.3
104221	ADRA1A	8p21.2
104222	NA	NA
104225	LRPAP1	4p16.3
104230	FUT4	11q21
104240	ST3GAL4	11q23-q24
104250	NA	NA
104260	ADRA2B	2q11.2
104290	NA	NA
104300	NA	NA
104310	NA	NA
104311	PSEN1	14q24.3
104350	NA	NA
104400	NA	NA
104500	NA	NA
104510	NA	NA
104530	NA	NA
104570	NA	NA
104600	NA	NA
104610	AOC1	7q36.1
104613	CCT6A	7p11.2
104614	SLC3A1	2p16.3
104615	SLC7A1	13q12.3
104620	ACY1	3p21.2
104640	AREG	4q13.3
104650	AMY2A	1p21.1
104660	AMY2B	1p21
104700	AMY1A	1p21
104701	AMY1B	1p21
104702	AMY1C	1p21
104740	NA	NA
104750	SAA1	11p15.1
104751	SAA2	11p15.1-p14
104752	SAA4	11p15.1-p14
104760	APP	21q21.2
104770	APCS	1q21-q23
104775	APLP1	19q13.12
104776	APLP2	11q24
105120	NA	NA
105150	NA	NA
105200	NA	NA
105210	NA	NA
105250	NA	NA
105300	NA	NA
105400	NA	NA
105500	NA	NA
105550	NA	NA
105563	NA	NA
105565	NA	NA
105570	NA	NA
105580	NA	NA
105590	ALK	2p23
105600	NA	NA
105650	NA	NA
105800	NA	NA
105805	NA	NA
105830	NA	NA
105835	NA	NA
105850	ANG	14q11.1-q11.2
106050	NA	NA
106070	NA	NA
106100	NA	NA
106150	NA	NA
106160	NA	NA
106165	AGTR1	3q24
106180	NA	NA
106190	NA	NA
106195	SLC4A3	2q35
106200	NA	NA
106210	NA	NA
106220	NA	NA
106230	NA	NA
106240	NA	NA
106250	NA	NA
106260	NA	NA
106280	NA	NA
106300	NA	NA
106400	NA	NA
106410	ANK2	4q25-q26
106490	ANXA3	4q21.21
106491	ANXA4	2p13.3
106500	NA	NA
106600	NA	NA
106700	NA	NA
106750	NA	NA
106900	NA	NA
106990	NA	NA
106995	NA	NA
107000	NA	NA
107100	NA	NA
107200	NA	NA
107240	NA	NA
107250	NA	NA
107253	NA	NA
107254	MIC12	15q11-q22
107257		NA
107260		NA
